x,y,vx,vy,timestamp
628,232,200,-200,8.108
631,229,200,-200,8.134
634,226,200,-200,8.159
637,223,200,-200,8.185
640,220,200,-200,8.212
643,217,200,-200,8.24
646,214,200,-200,8.267
649,211,200,-200,8.293
652,208,200,-200,8.319
655,205,200,-200,8.345
658,202,200,-200,8.371
661,199,200,-200,8.397
664,196,200,-200,8.424
667,193,200,-200,8.45
667,190,0,-200,8.476
667,187,0,-200,8.502
667,184,0,-200,8.529
667,181,0,-200,8.556
667,178,0,-200,8.583
664,175,-200,-200,8.609
661,172,-200,-200,8.635
658,169,-200,-200,8.661
655,166,-200,-200,8.687
652,163,-200,-200,8.713
649,160,-200,-200,8.74
646,157,-200,-200,8.767
643,154,-200,-200,8.793
640,151,-200,-200,8.819
637,148,-200,-200,8.844
634,145,-200,-200,8.871
631,142,-200,-200,8.896
628,139,-200,-200,8.923
625,136,-200,-200,8.949
622,133,-200,-200,8.975
619,130,-200,-200,9.0
616,127,-200,-200,9.026
613,124,-200,-200,9.052
610,121,-200,-200,9.078
607,118,-200,-200,9.104
604,115,-200,-200,9.13
601,112,-200,-200,9.155
598,109,-200,-200,9.181
595,106,-200,-200,9.207
592,103,-200,-200,9.234
589,100,-200,-200,9.26
586,97,-200,-200,9.286
583,94,-200,-200,9.312
580,91,-200,-200,9.339
583,88,200,-200,9.365
586,85,200,-200,9.391
589,85,200,0,9.418
592,85,200,0,9.444
595,85,200,0,9.47
598,85,200,0,9.495
601,85,200,0,9.522
604,85,200,0,9.549
607,85,200,0,9.574
610,85,200,0,9.6
613,85,200,0,9.626
616,85,200,0,9.652
619,85,200,0,9.679
622,88,200,200,9.704
625,91,200,200,9.731
628,94,200,200,9.756
631,97,200,200,9.782
634,100,200,200,9.809
637,103,200,200,9.835
637,106,0,200,9.861
637,109,0,200,9.887
637,112,0,200,9.913
637,115,0,200,9.939
637,118,0,200,9.965
634,121,-200,200,9.991
631,124,-200,200,10.016
628,127,-200,200,10.042
625,130,-200,200,10.068
622,133,-200,200,10.094
619,136,-200,200,10.12
616,139,-200,200,10.146
613,142,-200,200,10.172
610,145,-200,200,10.197
607,148,-200,200,10.223
604,151,-200,200,10.249
601,154,-200,200,10.276
598,157,-200,200,10.305
595,160,-200,200,10.334
592,163,-200,200,10.363
589,166,-200,200,10.392
586,169,-200,200,10.42
583,172,-200,200,10.449
580,175,-200,200,10.477
577,178,-200,200,10.505
574,181,-200,200,10.534
571,184,-200,200,10.563
568,187,-200,200,10.592
565,190,-200,200,10.622
568,193,200,200,10.651
571,196,200,200,10.682
574,199,200,200,10.711
577,199,200,0,10.74
580,199,200,0,10.769
583,199,200,0,10.799
586,199,200,0,10.828
589,199,200,0,10.857
592,199,200,0,10.885
595,199,200,0,10.913
598,199,200,0,10.94
601,199,200,0,10.967
604,202,200,200,10.994
607,205,200,200,11.019
610,208,200,200,11.046
613,211,200,200,11.072
616,214,200,200,11.098
619,217,200,200,11.124
622,220,200,200,11.151
625,223,200,200,11.177
628,226,200,200,11.204
625,229,-200,200,11.231
622,232,-200,200,11.257
619,232,-200,0,11.284
616,232,-200,0,11.31
613,232,-200,0,11.337
